year,net_benefit,under_prop,,
0,-36677.25265,0.33837619,-36677.25265,1
1,-122761693,0.356212685,-111601539.1,1.1
2,-122249474.5,0.358287737,-101032623.6,1.21
3,-122319785.7,0.361957561,-91900665.44,1.331
4,-122495209,0.36873995,-83665875.96,1.4641
5,-122625065.7,0.377764229,-76140518.03,1.61051
6,-122614192.1,0.385862755,-69212514.9,1.771561
7,-122538882.6,0.392206068,-62881822.41,1.9487171
8,-122824501.3,0.402850326,-57298536.33,2.14358881
9,-122905447.2,0.415370542,-52123907.44,2.357947691
10,-122859172.3,0.425976383,-47367529.43,2.59374246
11,-123110429.2,0.440412403,-43149454.4,2.853116706
12,-123447972,0.458687587,-39334328.26,3.138428377
13,-123433459.8,0.476834417,-35754276.58,3.452271214
14,-123725205.9,0.497149999,-32580713.66,3.797498336
15,-123461688.1,0.513999243,-29555746.54,4.177248169
16,-123608960.2,0.53158291,-26900911.19,4.594972986
17,-123944169.5,0.552614234,-24521693.18,5.054470285
18,-123563728.4,0.567775917,-22224022.67,5.559917313
19,-124185093.7,0.589721102,-20305255.16,6.115909045
20,-123758277.7,0.605059343,-18395879.4,6.727499949
npv,,0.605059343,-1045984491,
