year,net_benefit,under_prop,,
0,-36677.25265,0.33837619,-36677.25265,1
1,-122761693,0.356212685,-111601539.1,1.1
2,-122249474.5,0.358287737,-101032623.6,1.21
3,-122319785.7,0.361957561,-91900665.44,1.331
4,-122495209,0.36873995,-83665875.96,1.4641
5,-122625065.7,0.377764229,-76140518.03,1.61051
6,-122614192.1,0.385862755,-69212514.9,1.771561
7,-122538882.6,0.392206068,-62881822.41,1.9487171
8,-122824501.3,0.402850326,-57298536.33,2.14358881
9,-122905447.2,0.415370542,-52123907.44,2.357947691
10,-122859172.3,0.425976383,-47367529.43,2.59374246
11,-123110429.2,0.440412403,-43149454.4,2.853116706
12,-123447972,0.458687587,-39334328.26,3.138428377
13,-123433459.8,0.476834417,-35754276.58,3.452271214
14,-123725205.9,0.497149999,-32580713.66,3.797498336
15,-123461688.1,0.513999243,-29555746.54,4.177248169
16,-123608960.2,0.53158291,-26900911.19,4.594972986
17,-123944169.5,0.552614234,-24521693.18,5.054470285
18,-123563728.4,0.567775917,-22224022.67,5.559917313
19,-124185093.7,0.589721102,-20305255.16,6.115909045
20,-123758277.7,0.605059343,-18395879.4,6.727499949
21,-123405530.6,0.615192901,-16675859.81,7.400249944
22,-123684938,0.628131876,-15194196.62,8.140274939
23,-123595760.7,0.638340806,-13802946.87,8.954302433
24,-123624666.5,0.647805421,-12551068.19,9.849732676
25,-123607513.5,0.655162209,-11408478.84,10.83470594
26,-123309538.6,0.66054432,-10346342.68,11.91817654
27,-123218602.1,0.664131014,-9398829.65,13.10999419
28,-123030141.7,0.665551723,-8531322.115,14.42099361
29,-123078412.8,0.666589492,-7758790.359,15.86309297
30,-123109026.9,0.668061154,-7055200.23,17.44940227
31,-123007961.6,0.669129906,-6408553.02,19.1943425
32,-122808230,0.669219015,-5816497.515,21.11377675
33,-122970377.3,0.669219015,-5294706.553,23.22515442
34,-122858092.2,0.669219015,-4808974.473,25.54766986
35,-122803863.4,0.669219015,-4369865.292,28.10243685
36,-122765439.8,0.669219015,-3971361.839,30.91268053
37,-122703920.2,0.669219015,-3608519.754,34.00394859
38,-122660293.9,0.669219015,-3279306.161,37.40434344
39,-122666300.9,0.669219015,-2981333.416,41.14477779
npv,,0.669219015,-1199246644,
